hb,cancer_site_icd10code,cancer_site,sex,year,incidences_all_ages,crude_rate,crude_rate_lower95pc_confidence_interval,crude_rate_upper95pc_confidence_interval,standardised_incidence_ratio,sir_lower95pc_confidence_interval,sir_upper95pc_confidence_interval
S08000016,C67,Bladder,All,1996,40,37.78575477,26.99469719,51.45347342,114.2586266,81.62803803,155.5878199
S08000016,C67,Bladder,All,1997,30,28.31257078,19.10237261,40.41795526,100.3015471,67.67303261,143.1866952
S08000016,C67,Bladder,All,1998,15,14.14560543,7.917187979,23.33102496,63.69367822,35.64886819,105.053036
S08000016,C67,Bladder,All,1999,28,26.46252717,17.58415713,38.24571963,133.2981361,88.57564341,192.6529205
S08000016,C67,Bladder,All,2000,22,20.70588235,12.97626623,31.34895472,114.8279787,71.96208294,173.8509398
S08000016,C67,Bladder,All,2001,20,18.70032726,11.42264571,28.88113876,98.15256604,59.95413727,151.5886776
S08000016,C67,Bladder,All,2002,15,13.94959546,7.807482686,23.00773633,74.27644876,41.57196453,122.5077066
S08000016,C67,Bladder,All,2003,23,21.21966971,13.45145035,31.83992333,115.0231363,72.91480159,172.5911802
S08000016,C67,Bladder,All,2004,18,16.44586569,9.746862294,25.99155803,84.63679794,50.16113046,133.7626299
S08000016,C67,Bladder,All,2005,17,15.41950113,8.982427637,24.68811503,88.39145427,51.49127944,141.5232809
S08000016,C67,Bladder,All,2006,15,13.53057911,7.572962415,22.31663257,78.86870779,44.14221704,130.0819395
S08000016,C67,Bladder,All,2007,20,17.82531194,10.88816362,27.52974858,101.1133965,61.76268943,156.1614401
S08000016,C67,Bladder,All,2008,15,13.23218066,7.40595107,21.82446972,73.79446515,41.30220196,121.712748
S08000016,C67,Bladder,All,2009,18,15.84646536,9.391619668,25.04424709,89.00242535,52.74847794,140.6622033
S08000016,C67,Bladder,All,2010,27,23.74670185,15.64922615,34.55020444,126.2428118,83.19480847,183.6766632
S08000016,C67,Bladder,All,2011,28,24.58728486,16.33807223,35.53547238,129.4474192,86.01686994,187.0875623
S08000016,C67,Bladder,All,2012,17,14.94899754,8.708341954,23.93479319,74.10675221,43.16991408,118.6520891
S08000016,C67,Bladder,All,2013,25,21.95293291,14.20678069,32.40685959,113.886748,73.70149849,168.1193062
S08000016,C67,Bladder,All,2014,14,12.27639425,6.711618973,20.59770354,60.93467096,33.31355164,102.2380239
S08000016,C67,Bladder,All,2015,24,21.04709287,13.485269540000001,31.31640585,104.9325031,67.23223467,156.1312469
S08000016,C67,Bladder,All,2016,19,16.58953986,9.987986697,25.90662147,78.83342587,47.46287212,123.1081598
S08000016,C67,Bladder,All,2017,22,19.12710833,11.98685696,28.95867187,96.0486584,60.19318285,145.4188231
S08000016,C67,Bladder,All,2018,20,17.35056823,10.59817783,26.79654542,89.20479706,54.48860752,137.7695741
S08000016,C67,Bladder,All,2019,23,19.91169596,12.62230719,29.87732049,108.2198855,68.60212422,162.3829638
S08000016,C67,Bladder,All,2020,12,10.41305102,5.380575415,18.18950455,55.20244484,28.52390879,96.42756187
S08000016,C67,Bladder,Male,1996,30,59.04349537,39.83639839,84.28826096,125.6278579,84.7605882,179.3415787
S08000016,C67,Bladder,Male,1997,18,35.37318712,20.96439253,55.90488596,87.71425729,51.98502791,138.6263424
S08000016,C67,Bladder,Male,1998,12,23.55527638,12.17135503,41.14632743,74.22822238,38.35480567,129.6617664
S08000016,C67,Bladder,Male,1999,16,31.41813612,17.95817942,51.02108471,106.4178635,60.82700384,172.8159432
S08000016,C67,Bladder,Male,2000,14,27.39511584,14.97716475,45.96434941,105.1386316,57.48026828,176.4047588
S08000016,C67,Bladder,Male,2001,14,27.20189636,14.87152987,45.64015995,103.9661665,56.83927068,174.4375615
S08000016,C67,Bladder,Male,2002,10,19.27785168,9.244479201,35.45265561,71.03005171,34.06167071,130.6267941
S08000016,C67,Bladder,Male,2003,17,32.50850958,18.93740481,52.04927299,124.127934,72.30909584,198.7408469
S08000016,C67,Bladder,Male,2004,14,26.47553849,14.47442326,44.42145487,95.63203685,52.28292444,160.454308
S08000016,C67,Bladder,Male,2005,10,18.7596143,8.995964237,34.49959862,78.1795831,37.49014891,143.7750368
S08000016,C67,Bladder,Male,2006,10,18.63064741,8.934119602,34.26242393,76.11022457,36.49781106,139.9694128
S08000016,C67,Bladder,Male,2007,14,25.75660013,14.08137297,43.21519846,101.8873703,55.70277345,170.9496947
S08000016,C67,Bladder,Male,2008,11,20.05396339,10.01086627,35.88207998,81.73035572,40.7994991,146.2381826
S08000016,C67,Bladder,Male,2009,14,25.4958023,13.93879237,42.77762401,104.7002144,57.24058148,175.6691691
S08000016,C67,Bladder,Male,2010,20,36.40268652,22.23570664,56.22099689,130.6181896,79.7849836,201.7292001
S08000016,C67,Bladder,Male,2011,23,41.67044116,26.41548517,62.52612174,151.2981656,95.91005849,227.0215351
S08000016,C67,Bladder,Male,2012,8,14.49721835,6.2588699,28.56529949,50.75981292,21.91448439,100.017067
S08000016,C67,Bladder,Male,2013,16,28.92733814,16.53447317,46.97618484,105.0778339,60.06106113,170.6398191
S08000016,C67,Bladder,Male,2014,11,19.88466892,9.926355081,35.57916541,71.19187228,35.53872614,127.3819247
S08000016,C67,Bladder,Male,2015,19,34.37483039,20.69589341,53.68055574,121.0555435,72.88334508,189.0432266
S08000016,C67,Bladder,Male,2016,12,21.61539016,11.16898751,37.7577366,73.4510394,37.95322389,128.3041841
S08000016,C67,Bladder,Male,2017,16,28.67948879,16.39280585,46.57369302,99.00037811,56.58727005,160.7704117
S08000016,C67,Bladder,Male,2018,13,23.21884656,12.36305791,39.70493475,78.89887943,42.01033038,134.9194867
